	faith_pd
CNT1_ds0_S250	15.940465639
CNT11_d0_S205	23.73009128
CNT12_d7_S233	16.882185791
CNT13_d14_S268	13.749947708499999
CNT14_d14_S269	11.012706395
CNT15_ds1_S126	11.362106902499999
CNT17_d7_S238	14.251269402999998
CNT18_ds0_S211	13.435712816
CNT19_ds0_S217	13.533742600999998
CNT2_d0_S197	26.494410176000002
CNT20_d0_S213	20.713852074000002
CNT21_ds0_S253	17.044123892
CNT22_d0_S214	9.285955248499999
CNT23_ds1_S219	9.429975949000001
CNT25_d14_S279	15.5253205665
CNT28_ds0_S120	13.5203132305
CNT29_ds0_S248	16.635953798000003
CNT30_ds0_S220	16.980083344
CNT6_d7_S227	14.205072127000001
CNT9_ds0_S285	19.981680220500003
