	shannon
CNT1_ds0_S250	4.306726295502227
CNT11_d0_S205	5.331900430966005
CNT12_d7_S233	6.287421253564512
CNT13_d14_S268	4.753920669122448
CNT14_d14_S269	0.4039671689286436
CNT15_ds1_S126	6.100190458487032
CNT17_d7_S238	3.717406827145697
CNT18_ds0_S211	3.9729003348650616
CNT19_ds0_S217	3.3817379851086855
CNT2_d0_S197	5.941816693283501
CNT20_d0_S213	6.230047492489075
CNT21_ds0_S253	3.5392139620494345
CNT22_d0_S214	2.632946588516835
CNT23_ds1_S219	1.8785005228332856
CNT25_d14_S279	1.9002612012369602
CNT28_ds0_S120	5.846553212054777
CNT29_ds0_S248	4.780794054187785
CNT30_ds0_S220	5.383879719532356
CNT6_d7_S227	2.716485681308581
CNT9_ds0_S285	6.8331660736535405
