"","ds0_1","ds0_18","ds0_19","ds0_21","ds0_28","ds0_29","ds0_30","ds0_9","ds1_15","ds1_18","ds1_19","ds1_21","ds1_28","ds1_29","ds1_30","ds1_9","ds10_15","ds10_18","ds10_19","ds10_21","ds10_23","ds10_28","ds10_29","ds10_30","ds10_9","ds5_15","ds5_18","ds5_19","ds5_21","ds5_23","ds5_28","ds5_29","ds5_30"
"ds0_1",0,0.565887434275249,0.651686696857092,0.554856998161101,0.543764041369985,0.540343886186861,0.555876258222229,0.591394351325455,0.567966578681749,0.618964210820323,0.75170288237654,0.518485569029762,0.565090904555985,0.635902125801652,0.53962040576906,0.651639078549743,0.55899316050783,0.609459393355444,0.556369581551027,0.532778345400437,0.604295529580908,0.554357029930717,0.552382470577642,0.543389097726352,0.532180294676861,0.568494013249712,0.624187690847854,0.582797785670063,0.58931230699984,0.646560566666368,0.555276910029894,0.54578083305701,0.55631545800448
"ds0_18",0.565887434275249,0,0.492091995968382,0.584927147775772,0.563630592230263,0.463236098846914,0.520254317996208,0.47993730792591,0.519705394525224,0.485153339550261,0.647960088275299,0.611341233945742,0.520576211199694,0.477567127711301,0.457194225873143,0.841650550332178,0.482424577128025,0.511637100681922,0.593147501585677,0.464611473609126,0.545630936887528,0.50433296290059,0.489422079730603,0.486986872817332,0.516678049332026,0.475962773194967,0.538937397338204,0.447179712945521,0.41786909551546,0.591064644847583,0.496158281307474,0.475799411737155,0.516425608296414
"ds0_19",0.651686696857092,0.492091995968382,0,0.545830222420781,0.613638277248345,0.542233197682233,0.535990555574917,0.564803496507911,0.570649209536708,0.515496260127101,0.528974767151635,0.682940431608305,0.566898272453629,0.390452054409982,0.545393401189907,0.881069035396323,0.575191115123002,0.564363817969431,0.629116274028485,0.539105313733634,0.581557088972025,0.563518962714952,0.558762050884487,0.587759456268754,0.57143460292172,0.543060935471949,0.558345004590853,0.542455235387253,0.505562469917321,0.623824828292776,0.559781445862436,0.568296118507089,0.584357090966155
"ds0_21",0.554856998161101,0.584927147775772,0.545830222420781,0,0.635165220133723,0.581656939234929,0.581117722241642,0.570061386305947,0.605206059549969,0.569567231484352,0.707907981010842,0.712193594740949,0.605483659030975,0.60591648670758,0.579075253721762,0.841888224093197,0.580338950164115,0.590145700342381,0.599344012757675,0.57160466399517,0.635520211332579,0.569988224911099,0.581540227089448,0.569728585794973,0.573852389692012,0.585346903929313,0.62386815687949,0.597956873413674,0.571923107865173,0.59162284270936,0.597397802455361,0.564033153998188,0.570007223023455
"ds0_28",0.543764041369985,0.563630592230263,0.613638277248345,0.635165220133723,0,0.558609419561623,0.368784701954352,0.465870565036898,0.291000931084317,0.543830363501055,0.731201220539542,0.629656634367087,0.309422014921584,0.515537578563384,0.36200340307134,0.745272119513521,0.35152809628867,0.554999659696871,0.455654519772444,0.325310265222617,0.470507048756595,0.333906503509908,0.273194054920484,0.316164710229194,0.307375327325274,0.342744611677724,0.622674299143544,0.551346736132649,0.554745267860811,0.555089573381156,0.300231568317562,0.37807167513077,0.52271814733971
"ds0_29",0.540343886186861,0.463236098846914,0.542233197682233,0.581656939234929,0.558609419561623,0,0.4725553207166,0.480909264551823,0.521410589353203,0.521382321734174,0.654178988188604,0.5846951365577,0.522500582536204,0.530890367005398,0.460687703529731,0.786530575691369,0.528318853133975,0.504502795221696,0.536914692009264,0.478917803739934,0.559722848408377,0.535398504846543,0.505448862856538,0.511444708797255,0.505234047918781,0.517734348042231,0.448831947916564,0.47037564297952,0.506501609662667,0.547213831871642,0.503659484697327,0.516627222340139,0.570457892618952
"ds0_30",0.555876258222229,0.520254317996208,0.535990555574917,0.581117722241642,0.368784701954352,0.4725553207166,0,0.385067516044381,0.297698026558433,0.500351453426483,0.687059022174358,0.640872318326624,0.338257643041234,0.475492500918925,0.31593917487325,0.79027170785858,0.345930668283803,0.496417567764059,0.471799890953766,0.287551720918535,0.486510243577428,0.382373700115094,0.30779372650244,0.350996687855437,0.296386957898325,0.32794857641577,0.550997451439551,0.446539342386776,0.494093044143856,0.532167765906691,0.328098125166098,0.318635512593674,0.491427846516397
"ds0_9",0.591394351325455,0.47993730792591,0.564803496507911,0.570061386305947,0.465870565036898,0.480909264551823,0.385067516044381,0,0.397722173544224,0.523122703265195,0.670343615674932,0.640685012354006,0.448039772101013,0.501356381961204,0.36616233211884,0.816448118930933,0.412171836801053,0.527613702133117,0.516641039321238,0.372021909674109,0.557525405174683,0.431130847185327,0.389896112858209,0.416267774527503,0.370631638944305,0.412775650663776,0.544226902082295,0.446966174620897,0.477016759323358,0.537769588826672,0.418636756971298,0.38641949561359,0.516349596938823
"ds1_15",0.567966578681749,0.519705394525224,0.570649209536708,0.605206059549969,0.291000931084317,0.521410589353203,0.297698026558433,0.397722173544224,0,0.495452993198114,0.688514253579282,0.641791349727453,0.252972720708944,0.427895509670601,0.296629582597366,0.793493556121841,0.325881118910323,0.517248943983345,0.48343737057989,0.249133156086759,0.474715039672565,0.289301563725973,0.227971451289758,0.298530209835509,0.238948168578698,0.27672356411359,0.608786716345765,0.507595923447105,0.503260121806722,0.520483936797521,0.28456228418992,0.31373945550292,0.499054256078422
"ds1_18",0.618964210820323,0.485153339550261,0.515496260127101,0.569567231484352,0.543830363501055,0.521382321734174,0.500351453426483,0.523122703265195,0.495452993198114,0,0.650528965704005,0.667006523780654,0.496265230813577,0.439758002719574,0.475004857858738,0.840875992012866,0.509091102234011,0.402003771607241,0.578284880319036,0.477031143836242,0.425062638423463,0.501990918689514,0.477124102763341,0.474049000450111,0.492470771707868,0.464685945294463,0.602256997971528,0.539531039071024,0.432971413104432,0.536172612138717,0.477140016154987,0.497167728001786,0.565726343960671
"ds1_19",0.75170288237654,0.647960088275299,0.528974767151635,0.707907981010842,0.731201220539542,0.654178988188604,0.687059022174358,0.670343615674932,0.688514253579282,0.650528965704005,0,0.741034953400691,0.671707184875104,0.54878643709266,0.687407821186864,0.896985524115775,0.702699512770632,0.670780220872722,0.723633791806172,0.670766972218202,0.686893869047082,0.678576734704979,0.684301933915444,0.6932044399139,0.667181123254263,0.661906222336822,0.699141594875325,0.670442977236133,0.624666636049614,0.683152438931003,0.681937550814744,0.683976657511036,0.710458543731475
"ds1_21",0.518485569029762,0.611341233945742,0.682940431608305,0.712193594740949,0.629656634367087,0.5846951365577,0.640872318326624,0.640685012354006,0.641791349727453,0.667006523780654,0.741034953400691,0,0.632619102845045,0.647521237928947,0.598337174018881,0.503905218215554,0.645952448826678,0.670194045096883,0.546464172234645,0.601011570171572,0.6550380272738,0.631877807030759,0.613141650282119,0.632095914720048,0.626597144808304,0.613831890382555,0.69202169029962,0.627636766938306,0.616001960511201,0.675617962545071,0.607792468037096,0.623635225547367,0.698115586373921
"ds1_28",0.565090904555985,0.520576211199694,0.566898272453629,0.605483659030975,0.309422014921584,0.522500582536204,0.338257643041234,0.448039772101013,0.252972720708944,0.496265230813577,0.671707184875104,0.632619102845045,0,0.417783439809644,0.368925893952181,0.805627084430011,0.341633852376926,0.510513680346424,0.506647700295379,0.271056291682435,0.415396488075897,0.262263408812475,0.245284734336702,0.303901545643906,0.248731624197609,0.251366379563478,0.627757127034297,0.506925586508129,0.481764325324123,0.537811348533718,0.266002658029909,0.331491702161762,0.505493715644727
"ds1_29",0.635902125801652,0.477567127711301,0.390452054409982,0.60591648670758,0.515537578563384,0.530890367005398,0.475492500918925,0.501356381961204,0.427895509670601,0.439758002719574,0.54878643709266,0.647521237928947,0.417783439809644,0,0.460055122991031,0.862657399080138,0.479568054978099,0.507610240797069,0.571494003428659,0.415306834839424,0.446581288518783,0.44270180749213,0.417119683070803,0.443288587905058,0.439785992644955,0.39243306408375,0.596159187138491,0.506799448167258,0.415898926306681,0.589074832123123,0.425146522828112,0.479208605184967,0.56837252141727
"ds1_30",0.53962040576906,0.457194225873143,0.545393401189907,0.579075253721762,0.36200340307134,0.460687703529731,0.31593917487325,0.36616233211884,0.296629582597366,0.475004857858738,0.687407821186864,0.598337174018881,0.368925893952181,0.460055122991031,0,0.766123542662276,0.321514382446783,0.475430069079157,0.478794043957852,0.281288596924633,0.497658667961143,0.368204211505822,0.303788859483534,0.288669670518534,0.313766487314768,0.319484318059504,0.559396852966342,0.460927030512313,0.4662251244159,0.510067984655744,0.333664298997638,0.313611427988207,0.493089347510641
"ds1_9",0.651639078549743,0.841650550332178,0.881069035396323,0.841888224093197,0.745272119513521,0.786530575691369,0.79027170785858,0.816448118930933,0.793493556121841,0.840875992012866,0.896985524115775,0.503905218215554,0.805627084430011,0.862657399080138,0.766123542662276,0,0.800442452562139,0.831703178388458,0.726434465560779,0.777842256108247,0.82481203841488,0.817393734614596,0.786805456607918,0.789508482661554,0.777958429575124,0.806851197260169,0.845584010714234,0.823768037482663,0.842757961218293,0.772978569543864,0.777966284782964,0.804224653228647,0.834619990959637
"ds10_15",0.55899316050783,0.482424577128025,0.575191115123002,0.580338950164115,0.35152809628867,0.528318853133975,0.345930668283803,0.412171836801053,0.325881118910323,0.509091102234011,0.702699512770632,0.645952448826678,0.341633852376926,0.479568054978099,0.321514382446783,0.800442452562139,0,0.521487995328224,0.531433495086059,0.303755023541434,0.512014891262959,0.333771561828627,0.299005812101745,0.299160742237023,0.311087332118335,0.340228384265027,0.593083892419401,0.500431660575754,0.467096014536393,0.557790365800639,0.321104276152362,0.337833341448975,0.445432189277757
"ds10_18",0.609459393355444,0.511637100681922,0.564363817969431,0.590145700342381,0.554999659696871,0.504502795221696,0.496417567764059,0.527613702133117,0.517248943983345,0.402003771607241,0.670780220872722,0.670194045096883,0.510513680346424,0.507610240797069,0.475430069079157,0.831703178388458,0.521487995328224,0,0.542495743568089,0.497781550835565,0.513667812836021,0.536938269118478,0.49365243477813,0.496728253901437,0.508457757863538,0.500977739688443,0.593505359876877,0.534753940792836,0.496093606345102,0.570763661126842,0.483438921139905,0.4945706183957,0.560832185083637
"ds10_19",0.556369581551027,0.593147501585677,0.629116274028485,0.599344012757675,0.455654519772444,0.536914692009264,0.471799890953766,0.516641039321238,0.48343737057989,0.578284880319036,0.723633791806172,0.546464172234645,0.506647700295379,0.571494003428659,0.478794043957852,0.726434465560779,0.531433495086059,0.542495743568089,0,0.467517849412632,0.555961142872995,0.508388551216854,0.452751191867862,0.49389878046088,0.46576407410241,0.473125502104594,0.613568126978424,0.585058639071049,0.56731942596814,0.450327956020243,0.47576597644252,0.505995631825352,0.610296748969294
"ds10_21",0.532778345400437,0.464611473609126,0.539105313733634,0.57160466399517,0.325310265222617,0.478917803739934,0.287551720918535,0.372021909674109,0.249133156086759,0.477031143836242,0.670766972218202,0.601011570171572,0.271056291682435,0.415306834839424,0.281288596924633,0.777842256108247,0.303755023541434,0.497781550835565,0.467517849412632,0,0.44681398342928,0.275670260667054,0.220281145440482,0.283004788550838,0.255117489397396,0.245247043299824,0.5695942644852,0.460832234648106,0.448143220662686,0.528287408909314,0.258318464110777,0.289154582580862,0.485443742468622
"ds10_23",0.604295529580908,0.545630936887528,0.581557088972025,0.635520211332579,0.470507048756595,0.559722848408377,0.486510243577428,0.557525405174683,0.474715039672565,0.425062638423463,0.686893869047082,0.6550380272738,0.415396488075897,0.446581288518783,0.497658667961143,0.82481203841488,0.512014891262959,0.513667812836021,0.555961142872995,0.44681398342928,0,0.420372683873219,0.434328632213871,0.440513700369773,0.460766785201061,0.419044006838692,0.631888815494715,0.574141858802207,0.433326124239088,0.587815161161228,0.436124868439206,0.491743188452157,0.598796306450662
"ds10_28",0.554357029930717,0.50433296290059,0.563518962714952,0.569988224911099,0.333906503509908,0.535398504846543,0.382373700115094,0.431130847185327,0.289301563725973,0.501990918689514,0.678576734704979,0.631877807030759,0.262263408812475,0.44270180749213,0.368204211505822,0.817393734614596,0.333771561828627,0.536938269118478,0.508388551216854,0.275670260667054,0.420372683873219,0,0.278154554709994,0.297186831964366,0.273283215779841,0.255700315609975,0.621314958538225,0.515633879201131,0.472410634822311,0.534740891095479,0.303872450699492,0.344447462778908,0.511355199565835
"ds10_29",0.552382470577642,0.489422079730603,0.558762050884487,0.581540227089448,0.273194054920484,0.505448862856538,0.30779372650244,0.389896112858209,0.227971451289758,0.477124102763341,0.684301933915444,0.613141650282119,0.245284734336702,0.417119683070803,0.303788859483534,0.786805456607918,0.299005812101745,0.49365243477813,0.452751191867862,0.220281145440482,0.434328632213871,0.278154554709994,0,0.257302452625,0.236971154760803,0.265262159564716,0.602287561652315,0.492641772688876,0.469912619771192,0.502228148988604,0.24550316713972,0.304704843458112,0.489721540322495
"ds10_30",0.543389097726352,0.486986872817332,0.587759456268754,0.569728585794973,0.316164710229194,0.511444708797255,0.350996687855437,0.416267774527503,0.298530209835509,0.474049000450111,0.6932044399139,0.632095914720048,0.303901545643906,0.443288587905058,0.288669670518534,0.789508482661554,0.299160742237023,0.496728253901437,0.49389878046088,0.283004788550838,0.440513700369773,0.297186831964366,0.257302452625,0,0.276803935755318,0.306102155952956,0.59938078182859,0.499317239989127,0.466722142248882,0.508397036713161,0.305613210485731,0.318171695835882,0.491077922122105
"ds10_9",0.532180294676861,0.516678049332026,0.57143460292172,0.573852389692012,0.307375327325274,0.505234047918781,0.296386957898325,0.370631638944305,0.238948168578698,0.492470771707868,0.667181123254263,0.626597144808304,0.248731624197609,0.439785992644955,0.313766487314768,0.777958429575124,0.311087332118335,0.508457757863538,0.46576407410241,0.255117489397396,0.460766785201061,0.273283215779841,0.236971154760803,0.276803935755318,0,0.257403688267639,0.608218108283015,0.507862068087262,0.471685395330936,0.495816231132594,0.284432030205238,0.30449225069817,0.498240508901723
"ds5_15",0.568494013249712,0.475962773194967,0.543060935471949,0.585346903929313,0.342744611677724,0.517734348042231,0.32794857641577,0.412775650663776,0.27672356411359,0.464685945294463,0.661906222336822,0.613831890382555,0.251366379563478,0.39243306408375,0.319484318059504,0.806851197260169,0.340228384265027,0.500977739688443,0.473125502104594,0.245247043299824,0.419044006838692,0.255700315609975,0.265262159564716,0.306102155952956,0.257403688267639,0,0.612393398329089,0.493169699993491,0.446544953173054,0.537591163323278,0.313651989643092,0.316264368324863,0.517720950108857
"ds5_18",0.624187690847854,0.538937397338204,0.558345004590853,0.62386815687949,0.622674299143544,0.448831947916564,0.550997451439551,0.544226902082295,0.608786716345765,0.602256997971528,0.699141594875325,0.69202169029962,0.627757127034297,0.596159187138491,0.559396852966342,0.845584010714234,0.593083892419401,0.593505359876877,0.613568126978424,0.5695942644852,0.631888815494715,0.621314958538225,0.602287561652315,0.59938078182859,0.608218108283015,0.612393398329089,0,0.522890344977542,0.590337053220436,0.636951565230612,0.586065282990268,0.588511091495654,0.596314998251312
"ds5_19",0.582797785670063,0.447179712945521,0.542455235387253,0.597956873413674,0.551346736132649,0.47037564297952,0.446539342386776,0.446966174620897,0.507595923447105,0.539531039071024,0.670442977236133,0.627636766938306,0.506925586508129,0.506799448167258,0.460927030512313,0.823768037482663,0.500431660575754,0.534753940792836,0.585058639071049,0.460832234648106,0.574141858802207,0.515633879201131,0.492641772688876,0.499317239989127,0.507862068087262,0.493169699993491,0.522890344977542,0,0.494468527085634,0.591391062060713,0.483578529352526,0.45844751839321,0.552215974225052
"ds5_21",0.58931230699984,0.41786909551546,0.505562469917321,0.571923107865173,0.554745267860811,0.506501609662667,0.494093044143856,0.477016759323358,0.503260121806722,0.432971413104432,0.624666636049614,0.616001960511201,0.481764325324123,0.415898926306681,0.4662251244159,0.842757961218293,0.467096014536393,0.496093606345102,0.56731942596814,0.448143220662686,0.433326124239088,0.472410634822311,0.469912619771192,0.466722142248882,0.471685395330936,0.446544953173054,0.590337053220436,0.494468527085634,0,0.612831610830102,0.470912783073711,0.473079004713193,0.519744660149695
"ds5_23",0.646560566666368,0.591064644847583,0.623824828292776,0.59162284270936,0.555089573381156,0.547213831871642,0.532167765906691,0.537769588826672,0.520483936797521,0.536172612138717,0.683152438931003,0.675617962545071,0.537811348533718,0.589074832123123,0.510067984655744,0.772978569543864,0.557790365800639,0.570763661126842,0.450327956020243,0.528287408909314,0.587815161161228,0.534740891095479,0.502228148988604,0.508397036713161,0.495816231132594,0.537591163323278,0.636951565230612,0.591391062060713,0.612831610830102,0,0.534921894319353,0.538049697713039,0.628113703161264
"ds5_28",0.555276910029894,0.496158281307474,0.559781445862436,0.597397802455361,0.300231568317562,0.503659484697327,0.328098125166098,0.418636756971298,0.28456228418992,0.477140016154987,0.681937550814744,0.607792468037096,0.266002658029909,0.425146522828112,0.333664298997638,0.777966284782964,0.321104276152362,0.483438921139905,0.47576597644252,0.258318464110777,0.436124868439206,0.303872450699492,0.24550316713972,0.305613210485731,0.284432030205238,0.313651989643092,0.586065282990268,0.483578529352526,0.470912783073711,0.534921894319353,0,0.348774659734785,0.518938756202718
"ds5_29",0.54578083305701,0.475799411737155,0.568296118507089,0.564033153998188,0.37807167513077,0.516627222340139,0.318635512593674,0.38641949561359,0.31373945550292,0.497167728001786,0.683976657511036,0.623635225547367,0.331491702161762,0.479208605184967,0.313611427988207,0.804224653228647,0.337833341448975,0.4945706183957,0.505995631825352,0.289154582580862,0.491743188452157,0.344447462778908,0.304704843458112,0.318171695835882,0.30449225069817,0.316264368324863,0.588511091495654,0.45844751839321,0.473079004713193,0.538049697713039,0.348774659734785,0,0.484897305835902
"ds5_30",0.55631545800448,0.516425608296414,0.584357090966155,0.570007223023455,0.52271814733971,0.570457892618952,0.491427846516397,0.516349596938823,0.499054256078422,0.565726343960671,0.710458543731475,0.698115586373921,0.505493715644727,0.56837252141727,0.493089347510641,0.834619990959637,0.445432189277757,0.560832185083637,0.610296748969294,0.485443742468622,0.598796306450662,0.511355199565835,0.489721540322495,0.491077922122105,0.498240508901723,0.517720950108857,0.596314998251312,0.552215974225052,0.519744660149695,0.628113703161264,0.518938756202718,0.484897305835902,0
