"","Genus","x","effect","group","term","estimate","std.error","statistic","p.value","p.adj","sig","ASVstring","col1","col2","col3","col4","col5"
"1","ASV191",NA,"fixed",NA,"d1",2.94534523219024,0.50934,5.78267018531874,7.35241252255779e-09,7.35241252255779e-09,"P-Value < 0.05","Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 1","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella 1"
"2","ASV211",NA,"fixed",NA,"d1",-1.86035982891501,0.70507,-2.63854628464551,0.00832623335290251,0.00832623335290251,"P-Value < 0.05","Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"3","ASV386",NA,"fixed",NA,"d1",-2.33759850988168,0.95537,-2.44679915622395,0.0144131130433173,0.0144131130433173,"P-Value < 0.05","Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Globicatella","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Globicatella"
"4","ASV408",NA,"fixed",NA,"d1",-1.34716713974054,0.578,-2.3307389960909,0.0197671265899711,0.0197671265899711,"P-Value < 0.05","Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Clostridium sensu stricto 1"
"5","ASV440",NA,"fixed",NA,"d1",-1.57323898899844,0.72875,-2.15881850977488,0.0308642498985879,0.0308642498985879,"P-Value < 0.05","Firmicutes;Clostridia;Clostridiales;Family XIII;[Eubacterium] nodatum group","Firmicutes","Clostridia","Clostridiales","Family XIII","[Eubacterium] nodatum group"
"6","ASV460",NA,"fixed",NA,"d1",-1.24575410775948,0.47465,-2.62457412358469,0.00867574064360684,0.00867574064360684,"P-Value < 0.05","Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae"
"7","ASV484",NA,"fixed",NA,"d1",-1.77306492203708,0.5869,-3.02106819225946,0.00251884625310179,0.00251884625310179,"P-Value < 0.05","Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Ruminococcus] torques group","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus] torques group"
"8","ASV556",NA,"fixed",NA,"d1",-2.24367401106358,0.40269,-5.57171524265212,2.52243470780961e-08,2.52243470780961e-08,"P-Value < 0.05","Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Phascolarctobacterium","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium"
"9","ASV568",NA,"fixed",NA,"d1",2.06312691869498,0.73062,2.82380296008181,0.00474575504885227,0.00474575504885227,"P-Value < 0.05","Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonellaceae","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonellaceae"
"10","ASV838",NA,"fixed",NA,"d1",4.42553121104253,0.5892,7.51108487956981,5.86393545825695e-14,5.86393545825695e-14,"P-Value < 0.05","Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Histophilus","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Histophilus"
