"","Phylum","d","Abundance.average","overall.max"
"1","Actinobacteria","10",0.14632833094136,0.14632833094136
"2","Actinobacteria","0",0.0585875390875086,0.14632833094136
"3","Actinobacteria","1",0.0643831092173009,0.14632833094136
"4","Actinobacteria","5",0.0722620550354776,0.14632833094136
"5","Bacteroidetes","0",0.0588040666546351,0.170445199607132
"6","Bacteroidetes","1",0.103999028620924,0.170445199607132
"7","Bacteroidetes","5",0.0714459552065569,0.170445199607132
"8","Bacteroidetes","10",0.170445199607132,0.170445199607132
"9","Firmicutes","0",0.396708980177071,0.541514342529513
"10","Firmicutes","10",0.541514342529513,0.541514342529513
"11","Firmicutes","1",0.396884384369729,0.541514342529513
"12","Firmicutes","5",0.507418912612751,0.541514342529513
"13","Proteobacteria","1",0.380905174018599,0.459235846925568
"14","Proteobacteria","10",0.0632673860621535,0.459235846925568
"15","Proteobacteria","5",0.283559603417363,0.459235846925568
"16","Proteobacteria","0",0.459235846925568,0.459235846925568
"17","Tenericutes","10",0.0229528470901306,0.0283624985446646
"18","Tenericutes","1",0.0283624985446646,0.0283624985446646
"19","Tenericutes","0",0.00652530822808739,0.0283624985446646
"20","Tenericutes","5",0.0187668257780689,0.0283624985446646
